ZAPATA C,Milan,DIFENSORE,3
PATRIC,Lazio,DIFENSORE,3
WALLACE,Lazio,DIFENSORE,3
RANOCCHIA,Inter,DIFENSORE,3
SANTON,Inter,DIFENSORE,3
OLIVERA M,Fiorentina,DIFENSORE,3
CESAR,Chievo,DIFENSORE,3
MIANGUE,Cagliari,DIFENSORE,3
TOROSIDIS,Bologna,DIFENSORE,3
GOSENS,Atalanta,DIFENSORE,3
TONEV,Crotone,CENTROCAMPISTA,3
SANCHEZ C,Fiorentina,CENTROCAMPISTA,3
MURGIA,Lazio,CENTROCAMPISTA,3
LOCATELLI M,Milan,CENTROCAMPISTA,3
VERRE,Sampdoria,CENTROCAMPISTA,3
MAZZITELLI,Sassuolo,CENTROCAMPISTA,3
VALDIFIORI,Torino,CENTROCAMPISTA,3
OMEONGA,Genoa,CENTROCAMPISTA,3
CROCIATA,Crotone,CENTROCAMPISTA,3
EDERA,Torino,ATTACCANTE,3
FARES,Verona,ATTACCANTE,3
PARIGINI,Benevento,ATTACCANTE,3
PALLADINO,Genoa,ATTACCANTE,3
MARCHETTI,Lazio,PORTIERE,2
MERET,SPAL,PORTIERE,2
MIGLIORE,Genoa,DIFENSORE,2
MANCINI G,Atalanta,DIFENSORE,2
VAISANEN,SPAL,DIFENSORE,2
BIANCHETTI,Verona,DIFENSORE,2
ANGELLA,Udinese,DIFENSORE,2
PEZZELLA GIU,Udinese,DIFENSORE,2
ADJAPONG,Sassuolo,DIFENSORE,2
MILENKOVIC,Fiorentina,DIFENSORE,2
DEPAOLI,Chievo,DIFENSORE,2
JAROSZYNSKI,Chievo,DIFENSORE,2
CAPUANO,Crotone,DIFENSORE,2
KRAFTH,Bologna,DIFENSORE,2
DI CHIARA,Benevento,DIFENSORE,2
GRAVILLON,Benevento,DIFENSORE,2
GYAMFI,Benevento,DIFENSORE,2
HAAS,Atalanta,CENTROCAMPISTA,2
CRISETIG,Bologna,CENTROCAMPISTA,2
FALLETTI,Bologna,CENTROCAMPISTA,2
COSSU,Cagliari,CENTROCAMPISTA,2
DESSENA,Cagliari,CENTROCAMPISTA,2
COFIE,Genoa,CENTROCAMPISTA,2
BENTANCUR,Juventus,CENTROCAMPISTA,2
BIONDINI,Sassuolo,CENTROCAMPISTA,2
CASSATA,Sassuolo,CENTROCAMPISTA,2
MACHACH,Napoli,CENTROCAMPISTA,2
GUSTAFSON,Torino,CENTROCAMPISTA,2
FOSSATI,Verona,CENTROCAMPISTA,2
BRLEK,Genoa,CENTROCAMPISTA,2
LEE,Verona,ATTACCANTE,2
VIDO,Atalanta,ATTACCANTE,2
AVENATTI,Bologna,ATTACCANTE,2
RICCI,Genoa,ATTACCANTE,2
PELLEGRI,Genoa,ATTACCANTE,2
PETKOVIC,Verona,ATTACCANTE,2
GOLLINI,Atalanta,PORTIERE,1
DA COSTA,Bologna,PORTIERE,1
SANTURRO,Bologna,PORTIERE,1
CROSTA,Cagliari,PORTIERE,1
SECULIN,Chievo,PORTIERE,1
FESTA,Crotone,PORTIERE,1
VISCOVO,Crotone,PORTIERE,1
DRAGOWSKI,Fiorentina,PORTIERE,1
SATALINO,Sassuolo,PORTIERE,1
LAMANNA,Genoa,PORTIERE,1
ZIMA,Genoa,PORTIERE,1
BERNI,Inter,PORTIERE,1
PADELLI,Inter,PORTIERE,1
PINSOGLIO,Juventus,PORTIERE,1
GUERRIERI,Lazio,PORTIERE,1
VARGIC,Lazio,PORTIERE,1
DONNARUMMA A,Milan,PORTIERE,1
GABRIEL,Milan,PORTIERE,1
STORARI,Milan,PORTIERE,1
RAFAEL CABRAL,Napoli,PORTIERE,1
SEPE,Napoli,PORTIERE,1
LOBONT,Roma,PORTIERE,1
SKORUPSKI,Roma,PORTIERE,1
TOZZO,Sampdoria,PORTIERE,1
PEGOLO,Sassuolo,PORTIERE,1
MARCHEGIANI,SPAL,PORTIERE,1
POLUZZI,SPAL,PORTIERE,1
ICHAZO,Torino,PORTIERE,1
MILINKOVIC-SAVIC V,Torino,PORTIERE,1
COPPOLA,Verona,PORTIERE,1
SILVESTRI,Verona,PORTIERE,1
COTTICELLI,Benevento,PORTIERE,1
MARSON,Sassuolo,PORTIERE,1
CEROFOLINI,Fiorentina,PORTIERE,1
CONFENTE,Chievo,PORTIERE,1
ROSSI F,Atalanta,PORTIERE,1
PISCITELLI,Benevento,PORTIERE,1
BORSELLINI,Udinese,PORTIERE,1
KEITA C,Bologna,DIFENSORE,1
MIKULIC,Sampdoria,DIFENSORE,1
SIMIC S,Crotone,DIFENSORE,1
DELLA GIOVANNA,SPAL,DIFENSORE,1
HRISTOV,Fiorentina,DIFENSORE,1
TOMIC,Sampdoria,DIFENSORE,1
ROGERIO,Sassuolo,DIFENSORE,1
ANDERSEN,Sampdoria,DIFENSORE,1
BOCHNIEWICZ,Udinese,DIFENSORE,1
CREMONESI,SPAL,DIFENSORE,1
CHERUBIN,Verona,DIFENSORE,1
FELICIOLI,Verona,DIFENSORE,1
BONIFAZI,Torino,DIFENSORE,1
KONATE,SPAL,DIFENSORE,1
LUIZ FELIPE,Lazio,DIFENSORE,1
BEARZOTTI,Verona,DIFENSORE,1
MAURICIO,Lazio,DIFENSORE,1
VANHEUSDEN,Inter,DIFENSORE,1
DELL'ORCO,Sassuolo,DIFENSORE,1
DODO',Sampdoria,DIFENSORE,1
PAVLOVIC,Crotone,DIFENSORE,1
CASTAN,Cagliari,DIFENSORE,1
EMERSON,Roma,DIFENSORE,1
TONELLI,Napoli,DIFENSORE,1
ANTONELLI,Milan,DIFENSORE,1
GOMEZ G,Milan,DIFENSORE,1
PALETTA,Milan,DIFENSORE,1
GENTILETTI,Genoa,DIFENSORE,1
FARAONI,Crotone,DIFENSORE,1
FREY,Chievo,DIFENSORE,1
BASTONI,Atalanta,DIFENSORE,1
DRAME',SPAL,DIFENSORE,1
JOAO SCHMIDT,Atalanta,CENTROCAMPISTA,1
DEL PINTO,Benevento,CENTROCAMPISTA,1
MELARA,Benevento,CENTROCAMPISTA,1
DEIOLA,Cagliari,CENTROCAMPISTA,1
GAUDINO,Chievo,CENTROCAMPISTA,1
RIGONI N,Chievo,CENTROCAMPISTA,1
IZCO,Crotone,CENTROCAMPISTA,1
SULJIC,Crotone,CENTROCAMPISTA,1
CRISTOFORO,Fiorentina,CENTROCAMPISTA,1
GNOUKOURI,Inter,CENTROCAMPISTA,1
STURARO,Juventus,CENTROCAMPISTA,1
CRECCO,Lazio,CENTROCAMPISTA,1
DI GENNARO D,Lazio,CENTROCAMPISTA,1
GIACCHERINI,Napoli,CENTROCAMPISTA,1
CAPEZZI,Sampdoria,CENTROCAMPISTA,1
DJURICIC,Sampdoria,CENTROCAMPISTA,1
SCHIAVON,SPAL,CENTROCAMPISTA,1
BALIC,Udinese,CENTROCAMPISTA,1
INGELSSON,Udinese,CENTROCAMPISTA,1
ZACCAGNI,Verona,CENTROCAMPISTA,1
ZUCULINI F,Verona,CENTROCAMPISTA,1
RODRIGUEZ T,Genoa,CENTROCAMPISTA,1
MAURI J,Milan,CENTROCAMPISTA,1
MELEGONI,Atalanta,CENTROCAMPISTA,1
VALENCIA JM,Bologna,CENTROCAMPISTA,1
ZANELLATO,Milan,CENTROCAMPISTA,1
ROMERO A,Crotone,CENTROCAMPISTA,1
VITALE,SPAL,CENTROCAMPISTA,1
LANER,Verona,CENTROCAMPISTA,1
BRUNO JORDAO,Lazio,CENTROCAMPISTA,1
PEDRO NETO,Lazio,CENTROCAMPISTA,1
LERIS,Chievo,ATTACCANTE,1
SCAMACCA,Sassuolo,ATTACCANTE,1
SALCEDO MORA,Genoa,ATTACCANTE,1
TUMMINELLO,Crotone,ATTACCANTE,1
EWANDRO,Udinese,ATTACCANTE,1
MATOS,Verona,ATTACCANTE,1
LO FASO,Fiorentina,ATTACCANTE,1
BONAZZOLI,SPAL,ATTACCANTE,1
SADIQ,Torino,ATTACCANTE,1
DJORDJEVIC,Lazio,ATTACCANTE,1
PINAMONTI,Inter,ATTACCANTE,1
ZEKHNINI,Fiorentina,ATTACCANTE,1
GIANNETTI,Cagliari,ATTACCANTE,1
